business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Indian Silk House Agencies Dhanbad,Silk Saree Wholesaler,Saree Shop,Saree Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,http://www.indiansilkhouseagencies.com/,4.8,,"near BIG BAZAR, Chanakya Nagar, Saraidhella, Dhanbad, Jharkhand 826007",Chanakya Nagar,23.8214811,86.4731819,ChIJCUwa7dm79jkR7f3JuRxvyMY,https://www.google.com/maps/place/?q=place_id:ChIJCUwa7dm79jkR7f3JuRxvyMY,part_350,2026-09-20 20:18:34
Bahurani,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93040 93400,https://www.instagram.com/bahurani.dhanbad/,3.8,,"Bahurani, Park Market, Hirapur, Dhanbad, Jharkhand 826007","Hirapur, Pandey Muhalla",23.7999065,86.4421426,ChIJGbhlKpS89jkRT4i2gE6f_cQ,https://www.google.com/maps/place/?q=place_id:ChIJGbhlKpS89jkRT4i2gE6f_cQ,part_350,2026-09-20 20:18:34
BHOLA SAREE,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 89816 99812,N/A,4.3,,"DARI MOHALLA, Purana Bazar, Dhanbad, Jharkhand 826007","Purana Bazar, Damodarpur",23.788622,86.42454,ChIJbfpiQ8m89jkRKtKwHB2HXmo,https://www.google.com/maps/place/?q=place_id:ChIJbfpiQ8m89jkRKtKwHB2HXmo,part_350,2026-09-20 20:18:34
Golchha Saree Centre,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store, Women's clothing store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94301 94401,https://www.facebook.com/Golchhasareecenter,4.8,,"Golchha Saree Centre, Post Office, Nagarpalika Bazar, :, opposite Sarkari Hospital, Jugsalai, Jamshedpur, Jharkhand 831006","Kumar Chowk, Jugsalai",22.7738917,86.1889176,ChIJN5MnEIXj9TkR8hQ7mYbDDt4,https://www.google.com/maps/place/?q=place_id:ChIJN5MnEIXj9TkR8hQ7mYbDDt4,part_350,2026-09-20 20:18:34
Mukesh Saree Centre,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing wholesaler, Designer Clothing Store, Uniform store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 70206 64641,https://mukeshsarees.com/,4.5,,"Jaganath Rd, Wholesale Cloth Market, Itwari, Nagpur, Maharashtra 440002","Wholesale Cloth Market, Itwari",21.153491499999998,79.1073639,ChIJ2eKrqzTH1DsRJwBkvuGy5aM,https://www.google.com/maps/place/?q=place_id:ChIJ2eKrqzTH1DsRJwBkvuGy5aM,part_350,2026-09-20 20:18:34
BALAJI SAREE N FASHION,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 85818 89445,N/A,3.8,,"OZONE PLAZA, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.7859001,86.41701929999999,ChIJRcgSyR-j9jkRu9Aj3Fmt5Uc,https://www.google.com/maps/place/?q=place_id:ChIJRcgSyR-j9jkRu9Aj3Fmt5Uc,part_350,2026-09-20 20:18:34
The odhani,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,4.9,,"Address-Nalanda Trade Center, Sugiadih, Sahayogi Nagar Sector I, Near Big Bazar, Saraidhella, Dhanbad, Jharkhand 828127, Dhanbad, Jharkhand 826007","Sugiadih, Sahayogi Nagar Sector I",23.819751399999998,86.4683264,ChIJjxnB-YG99jkRS8AfaDV1UKY,https://www.google.com/maps/place/?q=place_id:ChIJjxnB-YG99jkRS8AfaDV1UKY,part_350,2026-09-20 20:18:34
LADIA,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 80029 95999,N/A,4.8,,"Shop No 01-02 , Ground Floor, Textile Market, Dhanbad, Jharkhand 826007",Matkuria Asmashan Ghat,23.788756499999998,86.4205892,ChIJJVspa9W99jkRoXC_fK0J-ek,https://www.google.com/maps/place/?q=place_id:ChIJJVspa9W99jkRoXC_fK0J-ek,part_350,2026-09-20 20:18:34
Alankar Sarees,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 62079 97958,N/A,2.2,,"Rajendra Market, 7, Bank More, Dhanbad, Jharkhand 826007",Bank More,23.7880532,86.4184724,ChIJJ2vLBqWj9jkR64LGALTYpDg,https://www.google.com/maps/place/?q=place_id:ChIJJ2vLBqWj9jkR64LGALTYpDg,part_350,2026-09-20 20:18:34
Ajmera Fashion Limited,Silk Saree Wholesaler,Clothing wholesaler,"Clothing wholesaler, Clothes and fabric wholesaler, Clothing manufacturer, Clothing store, Clothing supplier, Garment Exporter, Outlet store, Textile Exporter, Textile mill",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 63588 63687,https://ajmerafashion.com/,4.5,,"Ground Floor, Surana 101, G-1, Sahara Darwaja Ring Rd, Sahara Darwaja, Umarwada, Surat, Gujarat 395002","Sahara Darwaja, Umarwada",21.195560399999998,72.8439696,ChIJ-3OFDk5O4DsRXZbAaRKPhwc,https://www.google.com/maps/place/?q=place_id:ChIJ-3OFDk5O4DsRXZbAaRKPhwc,part_350,2026-09-20 20:18:34
Kewalsons,Silk Saree Wholesaler,Women's clothing store,"Women's clothing store, Clothing store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,N/A,4.4,,"Naveen Market, Bank Rd, Dari Mohalla, Damodarpur, Dhanbad, Jharkhand 826007","Dari Mohalla, Damodarpur",23.787327599999998,86.4234614,ChIJzfW4AMy89jkRAc-W4f46VNc,https://www.google.com/maps/place/?q=place_id:ChIJzfW4AMy89jkRAc-W4f46VNc,part_350,2026-09-20 20:18:34
Goyal Saree,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 98327 29349,N/A,4.1,,"Baker Ali Ln, near Banarsi Lal Dharmsala, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6850293,86.97193709999999,ChIJUzMSH9ge9zkRCZKykGvfZoA,https://www.google.com/maps/place/?q=place_id:ChIJUzMSH9ge9zkRCZKykGvfZoA,part_350,2026-09-20 20:18:34
Madhukunj,Silk Saree Wholesaler,Clothing store,Clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 326 230 2380,N/A,4.3,,"Purana Bazar, Damodarpur, Dhanbad, Jharkhand 826007","Purana Bazar, Damodarpur",23.7878153,86.4251409,ChIJBWK1MLi89jkRDR0rZeshVmo,https://www.google.com/maps/place/?q=place_id:ChIJBWK1MLi89jkRDR0rZeshVmo,part_350,2026-09-20 20:18:34
NEW RUCHIKA SAREES,Silk Saree Wholesaler,Women's clothing store,Women's clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94313 16127,N/A,4.2,,"1ST FLOOR, CAPITAL MALL, above ZUDIO, Chanakya Nagar, Saraidhella, Dhanbad, Jharkhand 826007",Chanakya Nagar,23.8199664,86.46933299999999,ChIJ5Xahw_a99jkRGGo2AYs0YtA,https://www.google.com/maps/place/?q=place_id:ChIJ5Xahw_a99jkRGGo2AYs0YtA,part_350,2026-09-20 20:18:34
Bunakaar Pvt ltd,Silk Saree Wholesaler,Clothing manufacturer,Clothing manufacturer,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",N/A,http://www.bunakaar.in/,4.8,20.0,"Sahajpita, Odisha 767017",762022,20.8440686,83.81228159999999,ChIJI1MJ_QHlIzoRoTqHEAxMYiQ,https://www.google.com/maps/place/?q=place_id:ChIJI1MJ_QHlIzoRoTqHEAxMYiQ,part_350,2026-09-20 20:18:35
Shree Radhey Co,Silk Saree Wholesaler,Women's clothing store,Women's clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 95700 51265,N/A,5.0,71.0,"Ram Tekri Rd, Chowk Bazar, Jugsalai, Jamshedpur, Jharkhand 831006","Chowk Bazar, Jugsalai",22.7750083,86.1860009,ChIJY7hjMU7j9TkR0njP4TqlBSY,https://www.google.com/maps/place/?q=place_id:ChIJY7hjMU7j9TkR0njP4TqlBSY,part_350,2026-09-20 20:18:35
Nathumal Vasudev & Co Wholesale Saree Depot,Silk Saree Wholesaler,Wholesaler,Wholesaler,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 94227 04605,N/A,3.9,,"Front Of Bank Of Maharashtra, Kirana Chawdi Rd, Kirana Chawdi, Mahavir Chowk, Shahgunj, Chhatrapati Sambhajinagar, Maharashtra 431001","Kirana Chawdi, Mahavir Chowk, Shahgunj",19.886205099999998,75.33450289999999,ChIJ2YEvYgyY2zsRfrttO0GykeQ,https://www.google.com/maps/place/?q=place_id:ChIJ2YEvYgyY2zsRfrttO0GykeQ,part_350,2026-09-20 20:18:35
Shree Ambaji Sarees,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store, Wholesale market",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 84607 63798,N/A,4.9,,"bh, 3,4,5, first floor, vandna Cloth market, Sindhi Market, Panchkuwa, Ahmedabad, Gujarat 380001","Sindhi Market, Panchkuwa, Laxmi Bazar, Khadia",23.023978099999997,72.5979521,ChIJ4WH6QBiFXjkRBSMSZKEvyt4,https://www.google.com/maps/place/?q=place_id:ChIJ4WH6QBiFXjkRBSMSZKEvyt4,part_350,2026-09-20 20:18:35
S.V. Saree House,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing wholesaler, Wholesaler",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 91542 19777,https://svsilks.in/,4.5,,"2-4-311 to 313, beside Secunderabad GST Division, Nallagutta, Ramgopalpet, Secunderabad, Hyderabad, Telangana 500003","Nallagutta, Ramgopalpet",17.4374814,78.4874293,ChIJ_TppABuayzsR4M0m7yWKngo,https://www.google.com/maps/place/?q=place_id:ChIJ_TppABuayzsR4M0m7yWKngo,part_350,2026-09-20 20:18:35
Navinchandra Ramdas (NR Fashion) – Saree Wholesaler Ahmedabad,Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothes and fabric wholesaler, Clothing store, Wholesaler",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 98985 57947,https://linktr.ee/nrfashionhub,4.8,,"Krishna Arcade, Panchkuva Darwaja, 2nd Floor, opp. Parshottam Mkt, nr. Hotel Dimple, Old City, Khadia, Ahmedabad, Gujarat 380002","Old City, Khadia",23.024343,72.5969041,ChIJZzg3DzSEXjkRO6cS7b9IS40,https://www.google.com/maps/place/?q=place_id:ChIJZzg3DzSEXjkRO6cS7b9IS40,part_350,2026-09-20 20:18:35
Shakuntala Saree (sambalpuri saree),Silk Saree Wholesaler,Saree Shop,"Saree Shop, Clothing store",762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 88950 02598,N/A,4.2,,"SBI Road,, Sonepur, Odisha 767017",762022,20.8447085,83.9095372,ChIJF9O-6QrnIzoRVUi3u1IZ5lk,https://www.google.com/maps/place/?q=place_id:ChIJF9O-6QrnIzoRVUi3u1IZ5lk,part_350,2026-09-20 20:18:36
Sri Venkata Raghavendra Sarees,Silk Saree Wholesaler,Saree Shop,Saree Shop,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 93944 51123,https://www.svrsarees.com/,4.8,,"62,63, krishnaveni wholesale market, Panja center, Vijayawada, Andhra Pradesh 520001",Vinchipeta,16.523604,80.6147609,ChIJx8KiNqXvNToRDoigtzGBx48,https://www.google.com/maps/place/?q=place_id:ChIJx8KiNqXvNToRDoigtzGBx48,part_350,2026-09-20 20:18:36
jai kishan shiv ratan mohata,Silk Saree Wholesaler,Women's clothing store,Women's clothing store,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 98319 32926,N/A,4.5,,"gurudwara, 174, Mahatma Gandhi Rd, near burrabazar, Kesoram Katra, Bortola, Barabazar Market, Kolkata, West Bengal 700007","Kesoram Katra, Bortola, Barabazar Market",22.580919299999998,88.3535354,ChIJW4VIkBV3AjoRMLLIybK1r_0,https://www.google.com/maps/place/?q=place_id:ChIJW4VIkBV3AjoRMLLIybK1r_0,part_350,2026-09-20 20:18:36
Textile Export India Pvt Ltd,Silk Saree Wholesaler,Clothing wholesaler,Clothing wholesaler,762022,Odisha Circle,Berhampur Region,Phulbani Division,"Kalinga S.O, Balumaha B.O, Duguripadi B.O",+91 90331 76505,https://www.textileexport.in/,4.5,,"Shree Kuberji Textile Park, E-308, Ring Rd, behind Belgium Square, Near Delhi Gate, Begampura, Surat, Gujarat 395002","Near Delhi Gate, Begampura",21.199579699999997,72.8396405,ChIJ0bK7u1FO4DsRS3EFI9lfOUs,https://www.google.com/maps/place/?q=place_id:ChIJ0bK7u1FO4DsRS3EFI9lfOUs,part_350,2026-09-20 20:18:36
