business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Boudh Distillery Guest House,Guesthouse,Condominium complex,Condominium complex,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,4.4,39.0,"M9WP+G62, Rambhikata, Odisha 762024",762023,20.696257199999998,84.385526,ChIJF_AwXsk3IjoR1zHuPHBGzTw,https://www.google.com/maps/place/?q=place_id:ChIJF_AwXsk3IjoR1zHuPHBGzTw,part_350,2026-09-20 20:19:41
Muralidhara Guesthouse,Guesthouse,Indoor lodging,Indoor lodging,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 86588 93119,N/A,3.4,5.0,"JCGG+P27, Puranakatak, Odisha 762013",762023,20.6267821,84.4250393,ChIJ2QgbXIA3IjoRhzSS7TSpW-Y,https://www.google.com/maps/place/?q=place_id:ChIJ2QgbXIA3IjoRhzSS7TSpW-Y,part_350,2026-09-20 20:19:41
Bhabani Plaza,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,3.8,337.0,"R8QF+458, Baudhgarh, Odisha 762014",762023,20.8377971,84.3229454,ChIJi9GJs7wtIjoRUjekKXaz_WA,https://www.google.com/maps/place/?q=place_id:ChIJi9GJs7wtIjoRUjekKXaz_WA,part_350,2026-09-20 20:19:41
Hotel Parijat Palace,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 89845 79099,N/A,3.4,289.0,"R8PF+W83, N.A.C Chowk, Bauda, Odisha 762014",762023,20.837261299999998,84.3232822,ChIJZ_pctrwtIjoRK1_Id_ySSBs,https://www.google.com/maps/place/?q=place_id:ChIJZ_pctrwtIjoRK1_Id_ySSBs,part_350,2026-09-20 20:19:41
Annapurna Lodge,Guesthouse,Lodge,Lodge,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 70779 67623,N/A,4.1,23.0,"19, Ufula, Birmaharajpur, Odisha 767018",762023,20.866140899999998,84.0410596,ChIJLWgh-rfbIzoRTF7dQSvolkU,https://www.google.com/maps/place/?q=place_id:ChIJLWgh-rfbIzoRTF7dQSvolkU,part_350,2026-09-20 20:19:41
Laughing Buddha Homestay,Guesthouse,Hotel,"Hotel, Bed & breakfast, Guest house, Inn, Lodge, Motel, Home Stay",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 84559 03554,https://www.laughingbuddhahomestay.com/,4.1,1130.0,"Plot No A/13,Trishna Enclave, KIIT Rd, near Royal Enfield Showroom, Bhubaneswar, Odisha 751024",Patia,20.352023499999998,85.822891,ChIJ0XhaBhYJGToRebsC6ki5qwk,https://www.google.com/maps/place/?q=place_id:ChIJ0XhaBhYJGToRebsC6ki5qwk,part_350,2026-09-20 20:19:41
Hotel The Kalinga,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 97770 37800,N/A,4.0,175.0,"R8QF+92P, National Highway 16, near Busstand, Nac Chhowk, Baudhgarh, Odisha 762014",Nac Chhowk,20.8385478,84.3226139,ChIJA99AmCwtIjoR1scdmMFw7WQ,https://www.google.com/maps/place/?q=place_id:ChIJA99AmCwtIjoR1scdmMFw7WQ,part_350,2026-09-20 20:19:41
Pravash Lodge,Guesthouse,Lodge,Lodge,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,3.1,66.0,"Bus Stand, Sonepur, Odisha 767017",762023,20.843805099999997,83.90943329999999,ChIJzyy0lQrnIzoR0ito2RzEspE,https://www.google.com/maps/place/?q=place_id:ChIJzyy0lQrnIzoR0ito2RzEspE,part_350,2026-09-20 20:19:41
Hotel Trupti,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,4.3,124.0,"Manamunda, Odisha 762016",762023,20.8299809,83.9307814,ChIJBahZGg_nIzoRGOwcmUxI984,https://www.google.com/maps/place/?q=place_id:ChIJBahZGg_nIzoRGOwcmUxI984,part_350,2026-09-20 20:19:41
N.B.P.L. Guest House,Guesthouse,Guest house,Guest house,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,4.5,2.0,"P939+42X, Baudhgarh, Odisha 762024",762023,20.702868499999997,84.3676227,ChIJqaw5WEo3IjoRqJcNFFu_rI8,https://www.google.com/maps/place/?q=place_id:ChIJqaw5WEo3IjoRqJcNFFu_rI8,part_350,2026-09-20 20:19:41
Mahala guest house,Guesthouse,Guest house,Guest house,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,5.0,2.0,"RW8M+HF3, Unnamed Road, Manamunda, Deuli, Odisha 762016",762023,20.816378099999998,83.9336756,ChIJdyEZoqzdIzoR4yZiat0tiQc,https://www.google.com/maps/place/?q=place_id:ChIJdyEZoqzdIzoR4yZiat0tiQc,part_350,2026-09-20 20:19:41
"Sameer Nayak Guest House, charichhak, boudh",Guesthouse,Guesthouse,Guesthouse,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,,,"HCH8+Q99, Jhadrajing, Odisha 762023",762023,20.5794019,84.415989,ChIJt9vHFqxJIjoR-L1NOUS8oHM,https://www.google.com/maps/place/?q=place_id:ChIJt9vHFqxJIjoR-L1NOUS8oHM,part_350,2026-09-20 20:19:41
Dambargarh Nature Camp,Guesthouse,Resort hotel,Resort hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,https://www.ecotourodisha.com/Dambargarh-nature-camp.php,4.3,96.0,"R4VP+P7P, Dambargad, Odisha 762015",762023,20.8443419,84.13570039999999,ChIJ29I8PxXRIzoRg1IprGcQtNg,https://www.google.com/maps/place/?q=place_id:ChIJ29I8PxXRIzoRg1IprGcQtNg,part_350,2026-09-20 20:19:41
Hotel Debasish(New),Guesthouse,Family restaurant,Family restaurant,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 97777 71485,N/A,4.1,603.0,"SH 14, Baudhgarh, Tetelenga, Odisha 762014",762023,20.8334627,84.3192739,ChIJs2-uUQwtIjoRU8yFp8q85gY,https://www.google.com/maps/place/?q=place_id:ChIJs2-uUQwtIjoRU8yFp8q85gY,part_350,2026-09-20 20:19:41
Purunakatak,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,5.0,1.0,"JCGG+RH7, Puranakatak, Odisha 762013",762023,20.627043399999998,84.4264341,ChIJIxK9BQA3IjoR-lFo9VxwpBo,https://www.google.com/maps/place/?q=place_id:ChIJIxK9BQA3IjoR-lFo9VxwpBo,part_350,2026-09-20 20:19:42
Saha Guest House,Guesthouse,Lodge,Lodge,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 6654 220 741,N/A,4.3,164.0,"WEEKLY MARKET, NEAR, Sonepur, Odisha 767017",762023,20.841415599999998,83.91231359999999,ChIJ6UtmBBnnIzoR-eJiivFITVk,https://www.google.com/maps/place/?q=place_id:ChIJ6UtmBBnnIzoR-eJiivFITVk,part_350,2026-09-20 20:19:42
Lotus Guest House,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 79781 99440,N/A,4.1,71.0,"Sonepur, Odisha 767017",762023,20.847690999999998,83.88911499999999,ChIJTfoCn7fnIzoRRamxleAUbQ4,https://www.google.com/maps/place/?q=place_id:ChIJTfoCn7fnIzoRRamxleAUbQ4,part_350,2026-09-20 20:19:42
Nidrabati,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,,,"CCQ5+Q64, Khajuripada, Odisha 762012",762023,20.4393967,84.4080743,ChIJ90nRJgBPIjoR713dwpFbbEI,https://www.google.com/maps/place/?q=place_id:ChIJ90nRJgBPIjoR713dwpFbbEI,part_350,2026-09-20 20:19:42
Hotel Gouri,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 80184 10092,N/A,4.3,4.0,"Shop No 12, Charichhak, Odisha 762023",762023,20.5874813,84.419676,ChIJ7cIeIl1JIjoRrylXuM7c8ro,https://www.google.com/maps/place/?q=place_id:ChIJ7cIeIl1JIjoRrylXuM7c8ro,part_350,2026-09-20 20:19:42
Kankala,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,1.0,1.0,"PF5F+JVH, Kankala, Unal, Odisha 762013",762023,20.709067899999997,84.47473389999999,ChIJDTE5AgA5IjoRG9e2gXK7LQA,https://www.google.com/maps/place/?q=place_id:ChIJDTE5AgA5IjoRG9e2gXK7LQA,part_350,2026-09-20 20:19:42
ODM PUNJABI DHABA,Guesthouse,Hotel,Hotel,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,1.5,2.0,"GC9X+QQ, Nuagam, Odisha 762023",762023,20.5194278,84.4493402,ChIJHQk3aABFIjoR_OcXnHfaoYQ,https://www.google.com/maps/place/?q=place_id:ChIJHQk3aABFIjoR_OcXnHfaoYQ,part_350,2026-09-20 20:19:42
Hotel Sailaja,Guesthouse,Bed & breakfast,"Bed & breakfast, General store",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 93372 06077,N/A,4.4,23.0,"Charichhak, Jhadrajing, Odisha 762023",762023,20.5798818,84.4165866,ChIJ-6SSfQBJIjoR26QUi1G1HQs,https://www.google.com/maps/place/?q=place_id:ChIJ-6SSfQBJIjoR26QUi1G1HQs,part_350,2026-09-20 20:19:42
