business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manjushree Lifestyle,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Childrens Store, Clothing store, Dress store, Clothing Accessories Store, Lingerie store, Plus Size Clothing Store, Women's clothing store",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 98331 19466,https://www.facebook.com/Manjushreebbsr,4.7,,"102, Janpath Rd, Unit 3, Kharvela Nagar, Bhubaneswar, Odisha 751001","Unit 3, Kharvela Nagar",20.269927,85.842035,ChIJo-Jy31GnGToRsEPW_U8QRn8,https://www.google.com/maps/place/?q=place_id:ChIJo-Jy31GnGToRsEPW_U8QRn8,part_350,2026-09-20 20:19:22
Luv Baby,Kids Wear Store,Children's clothing store,"Children's clothing store, Clothes market, Clothing store, Clothing supplier",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,4.6,,"Kainsir Rd, Bohidar Colony, Ainthapali, Sambalpur, Odisha 768006","Bohidar Colony, Ainthapali",21.501963099999998,83.9855472,ChIJUb-zc5gXIToRnYQ_922j6Ng,https://www.google.com/maps/place/?q=place_id:ChIJUb-zc5gXIToRnYQ_922j6Ng,part_350,2026-09-20 20:19:22
Baby village,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Baby store, Childrens Store, Electric bicycle store, Toy store",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 96686 68333,N/A,5.0,,"FX8C+X4W, Gaiety Talkies Rd, Pattnayakpada, Sambalpur, Odisha 768001",Pattnayakpada,21.4674876,83.97031539999999,ChIJ166UipkXIToRt8BrcyNOzyc,https://www.google.com/maps/place/?q=place_id:ChIJ166UipkXIToRt8BrcyNOzyc,part_350,2026-09-20 20:19:22
KIDZ BAAZAR,Kids Wear Store,Baby store,Baby store,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 94371 24454,N/A,4.8,,"Railway station road, Farm Rd, behind Jalan Gali, Khetrajpur, Sambalpur, Odisha 768003",Khetrajpur,21.4796096,83.9608277,ChIJSxyw060XIToRjQVGmuc4dvU,https://www.google.com/maps/place/?q=place_id:ChIJSxyw060XIToRjQVGmuc4dvU,part_350,2026-09-20 20:19:22
FirstCry.com Store Sambalpur Ainthapali Road,Kids Wear Store,Baby store,Baby store,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 97775 91118,https://www.firstcry.com/,4.8,,"1st Floor, Plot No. 180 & 181, Ainthapali Rd, Budharaja, Sambalpur, Odisha 768004",Budharaja,21.4919218,83.9859227,ChIJT-2hUMgXIToRTVXJVijbgxc,https://www.google.com/maps/place/?q=place_id:ChIJT-2hUMgXIToRTVXJVijbgxc,part_350,2026-09-20 20:19:22
Razaa's Kidz Khazana,Kids Wear Store,Baby store,"Baby store, Childrens Store",762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,N/A,5.0,,"Ganesh bazar, Main road, in front of Panjab National bank, Chidananda Nagar, Phulbani, Odisha 762001",Chidananda Nagar,20.4737114,84.2352094,ChIJTyVxG7izIzoRasHdzFBJyF0,https://www.google.com/maps/place/?q=place_id:ChIJTyVxG7izIzoRasHdzFBJyF0,part_350,2026-09-20 20:19:22
Fashion Zone,Kids Wear Store,Clothing store,Clothing store,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 78488 88174,http://myfz.in/,4.6,,"V. N. MARG, CHIDIA POLO, Balasore, Gopalgoan, Odisha 756001",CHIDIA POLO,21.499910999999997,86.9307274,ChIJaRl9eqb1HDoRG9RMo-5t-iM,https://www.google.com/maps/place/?q=place_id:ChIJaRl9eqb1HDoRG9RMo-5t-iM,part_350,2026-09-20 20:19:22
Laduram Meghraj Mall,Kids Wear Store,Shopping mall,Shopping mall,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",N/A,https://www.instagram.com/ladurammeghraj/,4.9,,"main road, Binka, Odisha 767019",762023,21.032880799999997,83.8085263,ChIJrywJPgBZIToRWWVQaHMaeIE,https://www.google.com/maps/place/?q=place_id:ChIJrywJPgBZIToRWWVQaHMaeIE,part_350,2026-09-20 20:19:22
V Mart - Sambalpur-Charbhati Chowk,Kids Wear Store,Clothing store,Clothing store,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 88006 97472,https://stores.vmartretail.com/clothing-mart-hans-nagar-sambalpur-41858/home?utm_source=GBP,4.9,,"near Commissioner Colony Cricket Club Ground, Charvati Chak, Govindtola, Hans Nagar, Sambalpur, Odisha 768001","Charvati Chak, Govindtola, Hans Nagar",21.4564749,83.9856398,ChIJJc32q7sVIToR_EWV3X3D5Ec,https://www.google.com/maps/place/?q=place_id:ChIJJc32q7sVIToR_EWV3X3D5Ec,part_350,2026-09-20 20:19:22
CHHANDA MAMA,Kids Wear Store,Clothing store,Clothing store,762023,Odisha Circle,Berhampur Region,Phulbani Division,"Jhadrajing S.O, Adenigarh B.O, Gundribida B.O",+91 94373 41235,N/A,4.5,,"FX7F+HM6, Nua Pada Road, near Kolkata Bazar, Pension Para, Sambalpur, Odisha 768001",Pension Para,21.463924499999997,83.9741353,ChIJ1Tpy3n8WIToR6-7yUMYA6ck,https://www.google.com/maps/place/?q=place_id:ChIJ1Tpy3n8WIToR6-7yUMYA6ck,part_350,2026-09-20 20:19:22
