business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ayurgenomics Botanicals pvt ltd,Herbal and Ayurvedic Cosmetic Products,Health and beauty shop,Health and beauty shop,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 95226 44446,https://ayurgenomicsbotanicals.com/,5.0,,"Bheemsen marg, near Krishna talkis, Nagar Nigam Colony, Samta Colony, Raipur, Chhattisgarh 492001","Nagar Nigam Colony, Samta Colony",21.245798699999998,81.6244651,ChIJI7hg_hndKDoRJMWSmvCRcUs,https://www.google.com/maps/place/?q=place_id:ChIJI7hg_hndKDoRJMWSmvCRcUs,part_350,2026-09-20 20:23:22
Patanjali Arogya Kendra,Herbal and Ayurvedic Cosmetic Products,Department store,Department store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 78739 32810,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-grocery-stores-phulbani-kandhamal-303725/Home?utm_source=locator&utm_medium=googleplaces,5.0,1.0,"Ground Floor, Narayani Sahi Road, near Shradhanjali Talkies, Agriculture Colony, Phulbani, Odisha 762001",Agriculture Colony,20.470774499999997,84.2411166,ChIJaZ-Lg_2yIzoRzyUwEeYRXOk,https://www.google.com/maps/place/?q=place_id:ChIJaZ-Lg_2yIzoRzyUwEeYRXOk,part_350,2026-09-20 20:23:23
AyurZone,Herbal and Ayurvedic Cosmetic Products,Shopping mall,"Shopping mall, Supplier, Dry Fruit Store, Herb shop, Herbal medicine store, Herbalist",762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 72050 66331,https://www.ayurzone.in/,4.4,8.0,"Bada Bazar, Khaspa St, Brahmapur, Odisha 760009","Mangalavarapeta, Triveni Nagar",19.3153522,84.77649339999999,ChIJr_DMLQNQPToRGz7CLL8glsc,https://www.google.com/maps/place/?q=place_id:ChIJr_DMLQNQPToRGz7CLL8glsc,part_350,2026-09-20 20:23:23
Ayurvedic medicine store,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",N/A,N/A,,,"63G7+R4R, Balimela, Odisha 764051",762029,18.22712,82.0627799,ChIJNf_77WSjMDoRpEba8qW636c,https://www.google.com/maps/place/?q=place_id:ChIJNf_77WSjMDoRpEba8qW636c,part_350,2026-09-20 20:23:23
"Gayatri Store, Patanjali,rcm, modicare,asharam, all Ayurvedic products and nadi tretuments in 5 min",Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",N/A,N/A,4.8,6.0,"RHG9+GHF, Arshala, Jhumpura, Odisha 758031",Arshala,21.8263037,85.5689123,ChIJTXVSzPOqHzoRHZGJYB15C4s,https://www.google.com/maps/place/?q=place_id:ChIJTXVSzPOqHzoRHZGJYB15C4s,part_350,2026-09-20 20:23:23
NIRUPAMA AYURVEDIC CARE,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",N/A,N/A,4.0,1.0,"M6RH+V65, Bramhabarada to balichandrapur Rd, Kaima, Sanaraipada, Gehlei, Odisha 755005",762029,20.692146299999997,86.2281027,ChIJv0pKQ4VfGToRHKbkm-LKdQg,https://www.google.com/maps/place/?q=place_id:ChIJv0pKQ4VfGToRHKbkm-LKdQg,part_350,2026-09-20 20:23:23
Adarsh Herbal Ayurvedic Center,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 97788 21244,N/A,,,"Kodala, Kantapada, Odisha 761032",762029,19.6208709,84.9427946,ChIJv9be-SQHGDoRzJD9Zb9Xxkg,https://www.google.com/maps/place/?q=place_id:ChIJv9be-SQHGDoRzJD9Zb9Xxkg,part_350,2026-09-20 20:23:23
Koyal Herbal World,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,"Cosmetic Products Manufacturer, Herbal medicine store",762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 80 4581 2162,https://www.koyalherbalworld.com/,5.0,,"Nagpur road Shesh-nagar Bramhapuri, Maharashtra 441205",762029,20.690652999999998,79.5916982,ChIJg1bzOs6bLDoReSFhygpO4-8,https://www.google.com/maps/place/?q=place_id:ChIJg1bzOs6bLDoReSFhygpO4-8,part_350,2026-09-20 20:23:23
KUSALA ENTERPRISES,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 93468 19159,https://kusalaherbalstores.com/,4.9,,"Subba Reddy Colony Rd, Jangareddygudem, Andhra Pradesh 534447",762029,17.120946,81.2919593,ChIJSe1f92f3NjoRoH5T3Rwowng,https://www.google.com/maps/place/?q=place_id:ChIJSe1f92f3NjoRoH5T3Rwowng,part_350,2026-09-20 20:23:23
Krishna's Organic Herbal Products,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,762029,Odisha Circle,Berhampur Region,Phulbani Division,"Gumagarh S.O, Adasipada B.O, Badabhuin B.O",+91 95392 99931,http://www.krishnasorganicherbalproducts.in/,4.9,,"Dwarka Tc-30/1136/1, KRA -59, Pettah, Ambalathu Mukku, Keralam 695024","Sangeetha Nagar, Pettah",8.4900407,76.9326182,ChIJTcVE9bW7BTsR3dLFv4GL4KA,https://www.google.com/maps/place/?q=place_id:ChIJTcVE9bW7BTsR3dLFv4GL4KA,part_350,2026-09-20 20:23:23
