business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sa-Dhan,Microfinance and NBFC,Financial institution,"Financial institution, Association / Organization",762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 11 4717 4400,http://www.sa-dhan.net/,4.8,6,"Ground Floor, D-26, South Extension, Block D, II, New Delhi, Delhi 110049","South Extension, Block D, II",28.5673049,77.2169462,ChIJAQAAAHniDDkRgQ5feSsvYtg,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAHniDDkRgQ5feSsvYtg,part_350,2026-09-20 20:31:22
NIKHIL MICRO FINANCE PRIVATE LIMITED,Microfinance and NBFC,Loan agency,"Loan agency, Insurance agency, Insurance company",762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 96673 89854,https://nikhilmicrofinance.in/,5.0,3,"Hawada Mod, By Pass Road, Baba Hotel ke Pass, Shrimadhopur, Rajasthan 332715",762110,27.4563162,75.5866272,ChIJC0NbBUHnbDkR_hanNuZLiJs,https://www.google.com/maps/place/?q=place_id:ChIJC0NbBUHnbDkR_hanNuZLiJs,part_350,2026-09-20 20:31:23
NAMAMI CAPITAL FINANCE,Microfinance and NBFC,Loan agency,Loan agency,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 99262 08040,http://www.namamicapital.in/,4.9,40,"Vidyapati Building, 301 A1, Race Course Rd, near Holkar stadium, Diamond Colony, New Palasia, Indore, Madhya Pradesh 452010","Diamond Colony, New Palasia",22.7248847,75.88193729999999,ChIJxwB4hTH9YjkRoXBAcnZgvmU,https://www.google.com/maps/place/?q=place_id:ChIJxwB4hTH9YjkRoXBAcnZgvmU,part_350,2026-09-20 20:31:23
NKB Kredit Solutions,Microfinance and NBFC,Loan agency,"Loan agency, Financial consultant",762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 75032 11000,https://nkbkredit.com/,4.6,36,"GD – ITL 08, 1204, Netaji Subhash Place, Delhi, 110034","Netaji Subhash Place, Shakurpur",28.691577799999997,77.15188669999999,ChIJq6qqVrgDDTkRqoKa_BOyKwE,https://www.google.com/maps/place/?q=place_id:ChIJq6qqVrgDDTkRqoKa_BOyKwE,part_350,2026-09-20 20:31:23
NextFin,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 84488 49696,http://nextfin.in/,4.5,34,"Plot no 1536 B, Saraswati Kunj, Near South Point Mall, Sector 53, Gurugram, Haryana 122003","Sarswati Kunj II, Wazirabad, Sector 53",28.437061399999997,77.0837548,ChIJVVVVFaMYDTkRl5-RnondHCs,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFaMYDTkRl5-RnondHCs,part_350,2026-09-20 20:31:23
Anantaa Finance,Microfinance and NBFC,Loan agency,"Loan agency, Car finance and loan company",762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 94629 04944,http://anantaafinance.com/,4.9,13,"Shop no. 115, saras market, Vijaypura Rd, Sumel, Jaipur, Rajasthan 302031",Sumel,26.885627799999998,75.91354869999999,ChIJoxqR6XqybTkReJEUDc_AJxI,https://www.google.com/maps/place/?q=place_id:ChIJoxqR6XqybTkReJEUDc_AJxI,part_350,2026-09-20 20:31:23
Fusion Micro Finance Limited,Microfinance and NBFC,Bank,Bank,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",N/A,N/A,5.0,1,"886Q+WJR, Alirajpur, Dipa Ki Choki, Madhya Pradesh 457887",762110,22.3123731,74.3390044,ChIJGSRsJca2YTkRVVVzV0j9AIM,https://www.google.com/maps/place/?q=place_id:ChIJGSRsJca2YTkRVVVzV0j9AIM,part_350,2026-09-20 20:31:23
KNBFC,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 484 416 1616,http://knbfc.org/,4.7,3,"Muthoot Towers, Mahatma Gandhi Rd, Shenoys, Kochi, Ernakulam, Keralam 682035",Shenoys,9.9782262,76.2838462,ChIJcyU-5k0NCDsRy8RnJ7tG9bw,https://www.google.com/maps/place/?q=place_id:ChIJcyU-5k0NCDsRy8RnJ7tG9bw,part_350,2026-09-20 20:31:23
Fintree Finance Pvt.Ltd.,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 1800 267 8111,https://fintreefinance.com/,4.5,133,"Fintree Finance Pvt Ltd. | 4th Floor, Engineering centre, 9, Shrimad Rajchandraji Marg, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004","Charni Road East, Opera House, Girgaon",18.9558019,72.815277,ChIJo3HDVkDJ5zsRSVD4FnIex4I,https://www.google.com/maps/place/?q=place_id:ChIJo3HDVkDJ5zsRSVD4FnIex4I,part_350,2026-09-20 20:31:23
FUSION MICROFINANCE LIMITED,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",N/A,https://fusionmicrofinance.com/,4.3,3,"C-107, Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028","Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina",28.631121999999998,77.134475,ChIJgZBeCzsDDTkRvB-l5afCotw,https://www.google.com/maps/place/?q=place_id:ChIJgZBeCzsDDTkRvB-l5afCotw,part_350,2026-09-20 20:31:23
FinCrif India,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 99533 33660,https://www.fincrif.com/,4.2,177,"C15, Block C, Noida Sector 3, Noida, Uttar Pradesh 201301","Block C, Noida Sector 3",28.581723,77.3197275,ChIJtwiytb3lDDkRMPjjMTWnbh8,https://www.google.com/maps/place/?q=place_id:ChIJtwiytb3lDDkRMPjjMTWnbh8,part_350,2026-09-20 20:31:23
First Finance Credit Co Operative Society Limited,Microfinance and NBFC,Financial institution,Financial institution,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 83280 23612,https://firstfinance.in/,4.2,20,"# 403, 4th Floor, 6-3-1247/A, Raj Bhavan Rd, Hyderabad, Telangana 500082",Somajiguda,17.417385799999998,78.46094099999999,ChIJ_bnH1AWXyzsR2j_jpU6gxns,https://www.google.com/maps/place/?q=place_id:ChIJ_bnH1AWXyzsR2j_jpU6gxns,part_350,2026-09-20 20:31:23
Fusion Finance Corporate office,Microfinance and NBFC,Corporate office,Corporate office,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 124 691 0500,https://fusionfin.com/,4.6,62,"Plot no. 86, Institutional Area, Sector 32, Gurugram, Haryana 122001","Institutional Area, Sector 32",28.4459661,77.0385865,ChIJyxTKlysZDTkR3v6xlodgmUI,https://www.google.com/maps/place/?q=place_id:ChIJyxTKlysZDTkR3v6xlodgmUI,part_350,2026-09-20 20:31:23
MicroFinance Institutions Network,Microfinance and NBFC,Corporate office,Corporate office,762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O",+91 1800 102 1080,http://www.mfinindia.org/,5.0,8,"4th Floor, Emaar Palm Spring Plaza, Golf Course Rd, Sector 54, Gurugram, Haryana 122009","DLF Phase 5, Sector 54",28.4453313,77.1014562,ChIJA3CfW7MYDTkRr3gSChu2OGg,https://www.google.com/maps/place/?q=place_id:ChIJA3CfW7MYDTkRr3gSChu2OGg,part_350,2026-09-20 20:31:23
