business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paying guest in Ahmedabad,PG,Boys' hostel,"Boys' hostel, Student dormitory",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 96647 57183,https://payingguestinahmedabad.com/,4.6,29,"Flat no.6 , 2nd Floor, Nr. Starbuks cafe, Darshini Apartment, St. Xavier's, cornar, Navrangpura, Ahmedabad, Gujarat 380009","Vasant Vihar, Navrangpura",23.0344101,72.55526619999999,ChIJr5KHhCSFXjkRJpdeU4_KoU4,https://www.google.com/maps/place/?q=place_id:ChIJr5KHhCSFXjkRJpdeU4_KoU4,part_350,2026-09-20 20:32:45
A to Z PG for Boys,PG,Boys' hostel,Boys' hostel,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 78271 54077,http://www.rajputpg.com/,4.8,57,"Max hospital, A 758, Sector 19 St, E Block, Pocket E, Sector 27, Noida, Uttar Pradesh 201301","E Block, Pocket E, Sector 27",28.574502799999998,77.3256165,ChIJ09B7zf3lDDkRqs0qglNJrDs,https://www.google.com/maps/place/?q=place_id:ChIJ09B7zf3lDDkRqs0qglNJrDs,part_350,2026-09-20 20:32:45
The Royal P.G.,PG,Student dormitory,"Student dormitory, Boys' hostel, Girls' hostel, Guest house",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 93102 55444,https://the-royal-pg.grexa.site/,4.5,277,"RN10, Rasoolpur Nawada, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309","Rasoolpur Nawada, Industrial Area, Sector 62",28.618987699999998,77.3687485,ChIJzRfaO07lDDkR5iZYATNPo0M,https://www.google.com/maps/place/?q=place_id:ChIJzRfaO07lDDkR5iZYATNPo0M,part_350,2026-09-20 20:32:45
sonipat pg,PG,Boys' hostel,"Boys' hostel, Guest house, Student dormitory",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 97293 96440,https://sonipatpg.blogspot.com/,3.9,44,"double story, gali no1, Rohtak Rd, Sonipat, Haryana 131001",Narender Nagar,28.9768017,77.02399679999999,ChIJsUqd7AiwDTkRNbUXVFVQxrs,https://www.google.com/maps/place/?q=place_id:ChIJsUqd7AiwDTkRNbUXVFVQxrs,part_350,2026-09-20 20:32:45
Mittal PG House,PG,Boys' hostel,"Boys' hostel, Student dormitory",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 97117 80771,N/A,4.3,328,"House no . 855, 7, govindpuri, Govindpuri, Kalkaji, New Delhi, Delhi 110019","Govindpuri, Kalkaji",28.5356362,77.2643231,ChIJyR_PxXLhDDkRKB_dHiZjONw,https://www.google.com/maps/place/?q=place_id:ChIJyR_PxXLhDDkRKB_dHiZjONw,part_350,2026-09-20 20:32:45
Katra PG House,PG,Student dormitory,"Student dormitory, Girls' hostel, Backpacker Hostel, Working women's hostel",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 97112 34059,https://www.katrapghouse.com/,4.0,703,"24, 1, Main Rd Govindpuri, opposite Acharya Narendra Dev College, Govindpuri, Kalkaji, New Delhi, Delhi 110019","Govindpuri, Kalkaji",28.5381003,77.26487089999999,ChIJjQKcb-DjDDkRqQGoxVcpGhM,https://www.google.com/maps/place/?q=place_id:ChIJjQKcb-DjDDkRqQGoxVcpGhM,part_350,2026-09-20 20:32:45
Jagdamba Pg,PG,Student dormitory,"Student dormitory, Hotel, Home Stay, Guest house",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 95609 98422,N/A,3.9,835,"Dundahera, Sector 21, Gurugram, Haryana 122016","Dundahera, Sector 21",28.5151582,77.0760109,ChIJD5KYB2EZDTkRMEWOUhtIQxY,https://www.google.com/maps/place/?q=place_id:ChIJD5KYB2EZDTkRMEWOUhtIQxY,part_350,2026-09-20 20:32:45
Meera Girls PG Accommodation,PG,Girls' hostel,"Girls' hostel, Guest house, Lodge, Home Stay, Serviced accommodation, Student dormitory, Student housing center, Women's shelter, Working women's hostel",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 98963 47777,https://meerapg.com/,4.7,202,"274/10, near Gandhi Chowk Road, Adarsh Nagar, Sonipat, Haryana 131001",Adarsh Nagar,28.9975235,77.02857639999999,ChIJx4ECru-xDTkRYDKgNaVfo80,https://www.google.com/maps/place/?q=place_id:ChIJx4ECru-xDTkRYDKgNaVfo80,part_350,2026-09-20 20:32:45
Apna PG for boys and girls,PG,Student housing center,"Student housing center, Boys' hostel, Girls' hostel, Guest house, Student dormitory, Working women's hostel",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 93501 36304,N/A,3.6,27,"House no 40, Assandh Rd, Arya Nagar, Bhatia Colony, Model Town, Panipat, Haryana 132103","Arya Nagar, Bhatia Colony, Model Town",29.394821999999998,76.9529562,ChIJfZ366QjbDTkRCh6lXzkwS30,https://www.google.com/maps/place/?q=place_id:ChIJfZ366QjbDTkRCh6lXzkwS30,part_350,2026-09-20 20:32:45
PG (paying guest) Sarita vihar,PG,Housing complex,Housing complex,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 70157 37305,N/A,4.4,18,"Pocket A, Sarita Vihar, New Delhi, Delhi 110076","Pocket A, Sarita Vihar",28.5346282,77.2871961,ChIJRwfo7_XnDDkRtLoaOzOEdQE,https://www.google.com/maps/place/?q=place_id:ChIJRwfo7_XnDDkRtLoaOzOEdQE,part_350,2026-09-20 20:32:45
