business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa santoshi jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 94392 84446,N/A,5.0,2,"2, NAC Rd, near Indian bank, chawk, Sunabeda, Odisha 763002",chawk,18.7364085,82.8350282,ChIJ2dhXrAv_OjoRdjmP8qdZj00,https://www.google.com/maps/place/?q=place_id:ChIJ2dhXrAv_OjoRdjmP8qdZj00,part_350,2026-09-20 20:32:24
Karmakar jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 94378 63971,N/A,3.8,29,"PRRR+WWW, DP Camp-4, Sunabeda, Odisha 763003",DP Camp-4,18.7423531,82.8423277,ChIJiVXkBsD-OjoRHMic52gTTC0,https://www.google.com/maps/place/?q=place_id:ChIJiVXkBsD-OjoRHMic52gTTC0,part_350,2026-09-20 20:32:24
Lotus Silver Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 40 4202 4165,https://lotussilverjewellery.com/,4.5,638,"metro pillar no:1113, Model House, 16 & 17, Sai Baba Temple Rd, Dwarakapuri, Punjagutta, Hyderabad, Telangana 500082","Dwarakapuri, Punjagutta",17.4243043,78.4531564,ChIJGUpXKjCXyzsRY-npQwaFyOk,https://www.google.com/maps/place/?q=place_id:ChIJGUpXKjCXyzsRY-npQwaFyOk,part_350,2026-09-20 20:32:25
BCOS Its Silver | Best Silver Jewellery Store in Bangalore,Silver Jewellery Shop,Jewelry store,"Jewelry store, Costume jewelry shop, Jeweler, Jewelry designer, Silversmith",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 96630 92110,https://bcositssilver.com/,4.7,1218,"Ground floor, No.168, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","Sector 6, HSR Layout",12.914924399999999,77.6353566,ChIJO6dCBpIUrjsRTsrWBQCntUE,https://www.google.com/maps/place/?q=place_id:ChIJO6dCBpIUrjsRTsrWBQCntUE,part_350,2026-09-20 20:32:26
Paras Jewels,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 94141 80123,http://parasjewels.com/,4.8,1270,"Sheela Choudhary Rd, New Rajeev Gandhi Nagar, VIP Colony, Talwandi, Kota, Kota Municipal Area, Rajasthan 324005","New Rajeev Gandhi Nagar, VIP Colony, Talwandi",25.1529174,75.8510907,ChIJC4HtSNiEbzkRHck9p_FsJrY,https://www.google.com/maps/place/?q=place_id:ChIJC4HtSNiEbzkRHck9p_FsJrY,part_350,2026-09-20 20:32:26
Goyaz Silver Jewellery,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 86696 26666,N/A,4.8,5192,"no 29, 15-24-209, Ground floor, M.I.G 209, road, Kukatpally Housing Board Colony, Hyderabad, Telangana 500072","Kukatpally Housing Board Colony, Dharma Reddy Colony Phase I, Kukatpally",17.4958906,78.3951391,ChIJvdmU0aaRyzsRDRz1ktDYQhE,https://www.google.com/maps/place/?q=place_id:ChIJvdmU0aaRyzsRDRz1ktDYQhE,part_350,2026-09-20 20:32:26
Brindavan Gems & Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 70261 13444,N/A,4.9,3263,"No. 219 and 220, Gubbi Cross, next to Decathlon, Kothanur Post, Kuvempu Layout, Kothanur, Bengaluru, Karnataka 560077","Kothanur Post, Kuvempu Layout, Kothanur",13.0655895,77.6521159,ChIJMzlSMeAZrjsR73gLK4WVE0o,https://www.google.com/maps/place/?q=place_id:ChIJMzlSMeAZrjsR73gLK4WVE0o,part_350,2026-09-20 20:32:26
Bhima Silver,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 484 270 0916,https://www.bhimajewels.com/,4.9,2734,"DOOR NO.40/575, NEW NO.62/3630 ENSIGN ENCLAVE, Mahatma Gandhi Rd, Kochi, Keralam 682011",Ernakulam South,9.9693386,76.2860879,ChIJd6wAOg5zCDsRUGXDYd6lEMA,https://www.google.com/maps/place/?q=place_id:ChIJd6wAOg5zCDsRUGXDYd6lEMA,part_350,2026-09-20 20:32:26
DD Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 94662 12345,N/A,4.6,49,"292/6, Main Bazaar, near Aggarwal Dhramshala, Subhash Nagar, Shahbad, Haryana 136135",Subhash Nagar,30.1680316,76.86974289999999,ChIJl0ARcUtKDjkR9uSJ5s2TsJM,https://www.google.com/maps/place/?q=place_id:ChIJl0ARcUtKDjkR9uSJ5s2TsJM,part_350,2026-09-20 20:32:26
Mudit Gems & Jewels,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,N/A,https://muditgemsandjewels.com/,3.4,51,"Shop No 4& 5, Besides BANK OF INDIA, plot no 28, Old Vasavi Nagar, New Vasavi Nagar, Karkhana, Secunderabad, Telangana 500015","Old Vasavi Nagar, New Vasavi Nagar, Karkhana",17.4627528,78.5021241,ChIJw3fzGEOayzsRC_Ms-ReJ1yg,https://www.google.com/maps/place/?q=place_id:ChIJw3fzGEOayzsRC_Ms-ReJ1yg,part_350,2026-09-20 20:32:26
Bakshi & Company Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Gold dealer, Goldsmith, Jewelry manufacturer, Silversmith",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 98836 10486,https://www.instagram.com/bakshiandcompany,4.9,770,"18/3, Kumud Ghosal Rd, Geetanjali Park, Ariadaha, Kolkata, West Bengal 700057","Geetanjali Park, Ariadaha",22.6647265,88.36706079999999,ChIJtzYLGVSc-DkR0v0Attw1ylo,https://www.google.com/maps/place/?q=place_id:ChIJtzYLGVSc-DkR0v0Attw1ylo,part_350,2026-09-20 20:32:26
Daulath Krishna Jewellers Silver Palace,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 80 2550 7444,N/A,3.9,245,"Oppt To Laxshmi Vilas Bank, No. 154, KHB Colony, 5th Block, 5th Cross, 60 Feet Rd, Koramangala, Bengaluru, Karnataka 560095","KHB Colony, 5th Block, Koramangala",12.9365014,77.62051919999999,ChIJDXjpe0UUrjsRRCSV4w---pE,https://www.google.com/maps/place/?q=place_id:ChIJDXjpe0UUrjsRRCSV4w---pE,part_350,2026-09-20 20:32:26
"Kalyan Jewellers - MG Road, Trivandrum",Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Goldsmith, Jeweler, Jewelry buyer, Jewelry designer, Jewelry engraver, Jewelry manufacturer, Jewelry repair service",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 92400 30884,https://store.kalyanjewellers.net/kalyan-jewellers-store-mg-road--trivandrum/tvm/overview,4.7,7602,"Mahatma Gandhi Rd, Ayurveda College Junction, Santhi Nagar, Pulimoodu, Thiruvananthapuram, Keralam 695001","Ayurveda College Junction, Santhi Nagar, Pulimoodu",8.490724199999999,76.9475046,ChIJp5h0gaS7BTsRSaqBeIFFIN0,https://www.google.com/maps/place/?q=place_id:ChIJp5h0gaS7BTsRSaqBeIFFIN0,part_350,2026-09-20 20:32:26
ISHITA JEWELLERS (Bagnan),Silver Jewellery Shop,Jewelry store,"Jewelry store, Jewelry buyer, Jewelry designer, Jewelry manufacturer, Jewelry repair service",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 75969 52539,https://ishitajewellers.addmeglobal.in/,4.9,130,"O T ROAD, Near Libery More, MORE, Khadinan, Bagnan, West Bengal 711303",763001,22.4684408,87.9718607,ChIJhQc-QSabAjoRtv2S_n7VY2U,https://www.google.com/maps/place/?q=place_id:ChIJhQc-QSabAjoRtv2S_n7VY2U,part_350,2026-09-20 20:32:26
Prabhu Dayal & Sons Jewellers Pvt Ltd. (Since 1967),Silver Jewellery Shop,Jeweler,"Jeweler, Diamond buyer, Diamond Merchant, Investment company, Jewelry appraiser, Jewelry buyer, Jewelry manufacturer, Jewelry repair service, Jewelry store, Gemstone Jeweler",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 88102 63496,http://www.prabhudayaljeweller.com/,4.9,2801,"B-40-41 Central Jewellery Market, New Delhi, Delhi 110062","Block 9, Sector 5, Doctor Ambedkar Nagar, Madangir",28.5197912,77.2312682,ChIJVVVVVZrhDDkRK_ZBuZUKVLY,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVZrhDDkRK_ZBuZUKVLY,part_350,2026-09-20 20:32:26
Agrawal Diamond & Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Diamond Merchant, Jeweler, Jewelry buyer, Jewelry designer, Jewelry Exporter, Jewelry manufacturer, Jewelry repair service, Gemstone Jeweler",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 96803 40108,https://onelink.to/agdi,4.9,552,"Shopping Center, 79, Chaupati Bazar, Kota, Rajasthan 324007",Gumanpura,25.1714628,75.8508428,ChIJW93jLiqbbzkR1inGkCZsoj4,https://www.google.com/maps/place/?q=place_id:ChIJW93jLiqbbzkR1inGkCZsoj4,part_350,2026-09-20 20:32:26
Rajsilver jayanagar,Silver Jewellery Shop,Jewelry store,Jewelry store,763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 93791 43834,http://rajsilverjewellery.com/,4.6,31,"658/57,33rd cross, 11th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","4th Block, Jayanagar",12.926205999999999,77.58577799999999,ChIJbbqRfnAVrjsRCT3OrhIbQtw,https://www.google.com/maps/place/?q=place_id:ChIJbbqRfnAVrjsRCT3OrhIbQtw,part_350,2026-09-20 20:32:26
Sri Jewels Gold & Silver Palace - Best Jewellery shop in Shoranur,Silver Jewellery Shop,Jewelry store,"Jewelry store, Ear piercing service, Jewelry designer, Jewelry manufacturer, Jewelry repair service, Wholesale jeweler",763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O,+91 88912 66818,http://www.facebook.com/srijewelssrr,4.8,74,"1st Floor, City Square Shoppers Mall, near Police Station, Shoranur, Keralam 679121",763001,10.762355,76.2694686,ChIJ5xaJFP7FpzsReou-U4M8bq4,https://www.google.com/maps/place/?q=place_id:ChIJ5xaJFP7FpzsReou-U4M8bq4,part_350,2026-09-20 20:32:26
